Renewal_Date,Sale,Main_Income,Addon_Income,Finance_Income,Gross_Price,Last_Yr_Gross_Price,Net_Premium,Previous_Renewals,First_Contact_Channel,Renewal_Offer_Type,Number_Of_Attempted_Policy_Ammendments,Diver_Age,Driver_Marital_Status,Driver_Occupation_Status,Driver_Licence_Type,Driver_Years_Licence_Held,Geographical_Area,Number_Of_Named_Drivers,Overnight_Parking,Annual_Mileage,Vehicle_Age,Vehicle_Years_Owned,Vehicle_Body_Type,Vehicle_No_Of_Doors,Vehicle_Engine_Size,Vehicle_Fuel_Type,Vehicle_Transmission,Vehicle_Liability_Category,No_Claims_Discount,Credit_Score,Previous_Discount,Data_Quality
20161201,0,23.72,34.947,0,257.27,211.22,182.45,3,I,Passive,NULL,65,M,E,Z,17,10,0,1,5000,7,4,B,2,1798,P,M,11,9,584,0,OK
20160714,1,131.75,34.003,45.49,483.34,494.91,239.55,7,I,Passive,NULL,68,D,R,Z,16,9,0,1,3000,19,10,H,3,1600,P,M,6,9,520,0,OK
20161028,0,25.52,40.3228,34.56,366.99,328,246.38,7,I,Passive,NULL,54,M,E,Z,17,10,0,4,15000,4,4,H,5,1686,D,M,,9,576,0,OK
20160728,0,68.58,30.1014,25.08,266.52,299.66,124.69,7,I,Passive,NULL,47,P,E,Z,16,10,0,4,6999,13,13,H,3,1400,P,M,6,9,583,0,OK
20160714,1,37.42,17.6472,0,282.28,265.71,210.12,7,I,Passive,NULL,67,M,E,Z,16,8,0,7,15000,5,2,H,5,1329,P,A,,9,568,0,OK
20160715,1,19.96,10.0002,0,209.03,194.93,166.67,7,I,Passive,NULL,69,M,R,Z,16,1,0,4,4999,6,5,H,5,1560,D,M,,9,568,0,OK
20160812,1,-3.29,35.9954,50.53,537.54,514.93,428.59,7,I,Active,NULL,59,S,U,Z,16,2,0,3,6000,24,6,H,3,1392,P,M,5,6,548,1,OK
20160812,1,55.62,40.1642,0,364.06,306.6,244.57,7,I,Passive,NULL,72,S,R,Z,16,1,0,3,7999,13,8,H,5,1388,P,M,5,9,617,0,OK
20160820,1,9.99,32.0104,0,264.28,277.7,206.34,7,I,Passive,NULL,63,B,E,Y,10,9,0,4,3999,15,10,H,3,1300,P,M,4,9,600,0,OK
20160903,0,16.47,52.1126,50.16,532.99,476.88,386.71,7,I,Passive,NULL,49,M,H,Z,16,10,0,4,5999,11,6,E,5,1598,P,M,5,9,575,0,OK
20160206,1,99.05,19.09,48.48,515.05,470.28,306.01,3,T,Passive,NULL,49,M,E,Z,16,7,0,1,5000,12,2,H,5,1598,P,M,5,4,582,0,OK
20160326,1,18.02,19.09,36.01,383.01,373.92,278.34,6,T,Passive,NULL,49,M,E,Z,16,7,0,1,5000,5,0,H,5,999,P,M,,9,582,0,OK
20161009,1,37.64,19.63,27.49,292.73,264,179.55,7,I,Passive,NULL,51,P,E,Z,16,8,0,4,5000,12,11,H,5,1388,P,M,5,9,558,0,OK
20161025,1,58.14,5.35,33.24,353.44,345.6,222.98,7,I,Passive,NULL,78,M,R,Z,16,5,0,1,1000,27,2,H,5,1769,D,M,8,9,603,0,OK
20160119,1,12.27,25.16,33.12,351.97,371.74,252.98,0,I,Passive,NULL,52,M,E,Z,16,11,0,4,10000,19,1,E,5,2497,D,A,14,9,574,0,OK
20160119,1,-31.63,19.09,31.08,330.24,366.16,281.63,0,I,Passive,NULL,52,M,E,Z,16,11,0,4,5000,15,1,H,3,1598,P,M,5,1,574,0,OK
20161009,1,194.87,19.63,63.49,675.29,574.49,324.79,7,I,Passive,NULL,54,M,E,Z,16,9,0,4,10000,8,2,E,5,1598,P,M,6,9,593,0,Quote Total Premium Error
20161011,1,125.56,19.63,41.17,438.16,393.11,209.26,7,I,Passive,NULL,42,M,E,Z,16,7,0,4,9999,2,0,H,5,1199,P,M,,9,551,0,OK
20161201,0,45.07,26.52,0,400.93,305.12,287.12,7,I,Passive,1,70,M,E,Z,17,5,1,4,11999,12,10,E,5,1968,D,M,9,9,613,0,OK
20160710,1,-27.77,63.48,72.84,774.17,519.77,555.47,1,T,Passive,NULL,32,M,H,Y,13,10,0,4,10000,6,2,H,5,1560,D,M,,3,532,0,OK
20161124,0,162.09,19.63,0,1199.04,825.74,888.85,6,T,Active,2,60,M,E,Z,16,2,0,4,6000,12,0,E,5,1896,D,M,11,9,537,0,OK
20161105,1,17.91,8.3,0,415.79,411.92,345.92,7,I,Passive,1,59,M,E,Z,16,8,1,1,10000,8,3,E,5,1560,D,A,7,9,549,0,OK
20161123,1,68.09,26.42,43.8,466.09,423.24,283.26,7,I,Passive,NULL,69,M,E,Z,16,3,0,1,8000,10,7,E,5,1796,P,M,6,9,601,0,OK
20161021,1,27.48,6.83,36.98,393.73,357.09,284.95,6,I,Passive,NULL,76,S,R,Z,16,6,0,1,5000,10,3,E,5,2198,D,M,15,9,616,0,OK
20161109,0,-7.12,19.63,40.09,426.79,281.78,331.99,7,I,Passive,NULL,67,M,R,Z,16,7,0,1,10000,4,1,E,5,2231,D,A,,9,540,0,OK
20160302,0,23.97,54.8,76.69,815.7,658.34,564.22,6,I,Passive,NULL,52,M,E,Z,16,11,0,1,8000,15,0,H,5,998,P,M,2,9,537,1,OK
20161001,1,129.25,30.72,0,424.01,433.98,215.42,8,I,Passive,NULL,66,S,E,Z,18,12,0,3,2000,12,8,H,5,1200,P,M,3,9,570,0,OK
20160831,1,113.35,30.72,39.12,415.64,376.52,188.92,7,I,Passive,NULL,57,S,E,Z,17,12,0,4,6000,13,4,H,3,1229,P,M,3,9,561,0,OK
20160920,1,126.9,35.79,43.8,465.86,390.95,211.5,8,I,Passive,NULL,55,M,E,Z,17,12,0,2,13000,8,2,H,3,1229,P,M,3,9,566,0,OK
20160317,1,59.69,0,34.69,369.11,345,244.33,7,I,Passive,2,59,P,H,Z,17,4,0,4,2999,12,1,H,3,1124,P,M,1,9,535,0,OK
20160121,1,133.17,0,36.84,391.4,328.3,189.16,6,I,Passive,NULL,51,M,E,Z,16,12,0,4,6000,10,3,S,4,2148,D,M,14,9,519,0,OK
20160127,0,160.96,19.09,40.56,431.11,319.98,174.99,6,I,Passive,NULL,55,A,N,Z,16,11,0,4,6000,14,10,H,3,1100,P,M,3,9,537,0,OK
20160207,1,105.18,62.05,50.29,534.83,427.89,241.23,7,I,Passive,NULL,51,M,E,Z,12,12,0,4,12000,4,0,H,5,1560,D,M,,9,579,0,OK
20160224,1,28.57,19.09,37.57,399.59,407.37,281.45,7,T,Passive,NULL,52,M,E,Z,17,12,1,4,4999,12,0,E,5,1997,D,M,6,9,561,0,OK
20160128,1,40.69,7.65,41.89,445.06,304.04,318.87,7,I,Passive,NULL,59,M,E,Z,16,3,0,1,4999,12,2,H,5,1389,P,A,5,9,588,0,OK
20160622,0,21.46,35.8,31.57,335.84,305.81,211.76,7,I,Passive,1,61,M,R,Z,16,12,1,4,10000,4,3,H,5,1461,D,M,,9,598,0,OK
20160627,1,0,25.96,0,323.98,220.75,263.98,7,I,Passive,1,56,M,H,Z,16,10,0,4,5000,10,10,E,5,1896,D,M,5,9,557,1,OK
20160702,1,9.56,12.7164,0,248.08,193.54,211.94,7,I,Passive,NULL,53,M,E,Z,16,10,0,4,12000,10,8,E,5,1896,D,M,7,9,596,0,OK
20160611,1,26.64,27.26,0,415.65,289.91,318.03,7,I,Passive,NULL,59,P,E,Z,16,8,2,4,8000,9,8,E,5,1500,P,M,8,9,566,0,OK
20160307,0,-29.37,0,0,416.01,277.88,404.89,6,I,Passive,1,50,M,E,Z,13,6,0,1,10000,1,1,H,3,999,P,M,,4,558,0,OK
20160625,0,9.44,24.15,25.8,274.23,227.58,188.7,7,I,Passive,NULL,65,M,R,Z,16,6,0,1,4999,9,6,H,5,1229,P,M,2,9,566,1,OK
20160623,0,44.04,19.63,0,451.63,320.2,339.57,7,I,Passive,1,63,D,E,Z,16,6,0,5,5000,1,0,H,5,1242,P,M,,9,543,0,OK
20160629,1,-12.7,38.85,0,346.85,278.87,253.99,7,I,Active,1,68,M,R,Z,16,8,0,4,9000,3,2,H,5,1560,D,M,,9,609,1,OK
20160621,1,64.93,6.4,0,378.18,249.19,267.02,7,I,Passive,NULL,76,M,R,Z,16,8,0,3,7999,4,2,H,5,1598,D,M,,9,590,0,OK
20160704,0,95.85,49.311,51.12,543.48,497.52,309.85,7,I,Passive,NULL,73,M,R,Z,16,12,0,4,14999,15,1,H,5,1598,P,M,8,9,593,0,OK
20161113,0,15.28,31.658,0,203.03,185.28,143.3,7,I,Passive,NULL,69,M,R,Z,17,11,0,4,8000,11,8,H,5,1100,P,M,1,9,595,0,OK
20160706,1,64.61,14.0754,0,335.1,286.15,234.59,7,I,Passive,NULL,75,M,R,Z,16,9,0,1,3999,11,9,H,3,1229,P,M,3,9,572,0,OK
20160707,0,-15.69,45.9886,0,365.3,270.22,313.81,5,T,Active,NULL,67,W,R,Z,17,12,0,1,8000,2,1,H,5,1461,D,M,,9,576,0,OK
20160706,0,35.79,41.8292,0,364.45,300.47,264.32,7,I,Passive,NULL,75,M,R,Z,16,7,0,1,6000,18,17,S,4,1762,P,M,8,9,576,0,OK
20160622,0,43.15,24.35,30.61,325.92,257.44,196.67,7,I,Passive,1,68,M,R,Z,16,10,0,1,1999,3,0,H,5,1242,P,M,,9,624,0,OK
20160611,1,46.08,58.74,0,445.28,364.24,264.59,7,I,Passive,NULL,63,D,S,Z,16,3,0,4,8000,9,9,H,5,1300,D,M,2,9,584,1,OK
20160723,0,-6.9,17.624,0,233.22,166.99,209.9,7,I,Passive,NULL,67,D,R,Z,16,11,1,1,6999,14,8,E,5,1298,P,A,7,9,613,0,OK
20160714,0,12.01,42.1502,35.53,377.75,320.58,268.17,7,I,Passive,NULL,56,M,E,Z,16,7,0,1,7999,10,8,H,5,1600,D,M,6,9,558,1,OK
20160721,1,0,21.0114,0,286.21,195.92,250.19,7,I,Passive,NULL,70,P,R,Z,16,8,0,5,11999,11,10,E,5,1991,D,M,11,9,537,0,OK
20161214,1,53.66,15.153,0,342.96,343.74,252.55,7,I,Passive,NULL,51,M,U,Z,16,11,0,4,5000,11,2,E,5,1870,D,M,10,9,500,0,OK
20160701,0,119.01,44.3522,0,492.04,369.41,294.37,8,I,Passive,NULL,73,M,R,Z,17,11,0,1,11999,2,2,H,5,1968,D,A,,9,565,0,OK
20160612,1,52.5,24.57,0,316.28,329.03,205.85,7,I,Passive,NULL,41,M,H,Z,16,3,0,4,4000,23,5,H,5,1331,P,M,9,9,530,0,OK
20160716,1,10.18,13.5564,0,264.45,221.27,225.94,7,I,Passive,NULL,51,P,E,Z,16,10,0,4,9999,16,14,H,5,1590,P,M,7,9,559,0,OK
20160219,0,-17.84,28.81,47.64,506.43,334.55,405.37,6,I,Passive,NULL,54,M,E,Z,16,5,0,4,10000,6,1,H,5,1560,D,M,,9,585,0,OK
20160722,0,101.56,41.7532,0,548.7,376.63,368.72,7,I,Passive,NULL,58,D,E,Z,16,3,0,1,4500,17,8,H,5,1800,D,M,8,9,551,1,OK
20160716,1,210.29,73.4188,74.64,793.68,694.78,350.48,7,I,Passive,NULL,49,M,U,Z,16,4,0,3,4999,10,9,H,5,1198,P,M,3,7,529,0,OK
20160714,1,74.09,51.006,0,499.63,479.08,338.1,7,I,Passive,1,59,D,U,Z,16,3,0,4,10000,9,8,H,5,1500,P,A,8,9,594,0,OK
20160724,1,21.33,33.5968,0,236.1,258.16,166.28,7,I,Passive,1,65,M,R,Z,16,12,0,4,6000,2,1,H,5,1197,P,M,,9,573,0,OK
20160722,1,-8.14,33.292,0,199.97,185.39,162.7,7,I,Passive,NULL,66,M,R,Z,16,12,0,1,8000,5,2,H,5,1388,P,M,5,9,574,0,OK
20160716,0,39.99,38.9208,0,329.53,317.3,229.68,7,I,Passive,1,58,P,S,Z,16,1,0,3,14999,10,0,H,3,1992,D,M,7,9,567,0,OK
20161001,1,46.36,24.79,0,320,255.23,215.11,7,I,Passive,NULL,63,S,R,Z,17,8,2,1,19999,2,1,H,5,1461,D,M,,9,602,1,OK
20160914,0,48.1,19.63,41.89,444.96,456.97,292.15,7,I,Passive,NULL,56,M,E,Z,16,12,0,5,5000,7,3,H,5,1598,P,M,4,7,573,0,OK
20160911,1,30.24,24.76,0,300.44,254.36,213.8,7,I,Passive,NULL,68,M,R,Z,16,7,0,3,7999,12,12,H,5,2148,D,M,12,9,577,0,OK
20160924,1,67.95,30.72,44.88,477.25,442.14,284.18,7,I,Passive,NULL,53,M,E,Z,16,9,0,4,8000,11,3,H,5,1390,P,M,4,9,525,1,OK
20160916,1,122.14,10.99,0,661.06,481.58,458.28,6,T,Passive,NULL,71,M,R,Z,16,3,0,3,6000,8,8,H,5,1596,P,M,,9,598,0,OK
20160912,1,95.79,0,31.33,333.67,305.91,174.16,7,I,Passive,NULL,48,M,S,Z,16,12,0,5,7999,16,9,E,5,1298,P,M,3,8,556,0,OK
20160923,1,15.94,3.08,0,164.86,145.81,128.51,7,I,Passive,NULL,72,M,R,Z,16,10,0,1,10000,17,10,H,3,1390,P,M,4,9,596,0,OK
20160911,1,155.86,72.01,60,637.7,831.01,259.76,7,I,Passive,NULL,65,M,R,Z,16,2,0,4,3000,13,1,E,5,1998,P,A,12,9,580,0,OK
20161029,1,300,19.63,101.77,1082.72,959.26,556.21,7,T,Passive,NULL,47,M,E,Z,17,2,0,4,5000,25,21,C,2,1991,P,M,14,2,583,0,OK
20161005,1,24.21,0,0,301.04,262.01,244.58,7,I,Passive,NULL,65,A,E,Z,16,12,0,5,5999,16,10,H,5,1598,P,A,8,9,588,0,OK
20160930,1,159.03,52.39,0,770.46,657.93,447.65,6,T,Passive,NULL,60,M,E,Z,16,2,1,4,6999,10,10,B,2,999,P,A,4,4,572,0,OK
20160816,1,31.68,24.65,0,297.2,246.48,209.56,5,I,Passive,NULL,73,M,R,Z,16,6,0,4,9999,3,3,E,5,1560,D,M,,9,546,0,OK
20160912,1,225.62,11.09,106.57,1133.37,794.63,676.89,7,I,Passive,NULL,68,M,E,Z,16,2,0,4,5000,16,2,B,2,1598,P,M,10,3,591,0,OK
20160921,0,15.32,29.04,0,487.73,318.23,392.12,7,I,Passive,NULL,62,S,S,Z,16,5,1,3,12000,5,3,H,5,1364,D,M,4,9,590,1,OK
20160918,1,27.98,19.63,0,278.75,260.25,201.27,7,I,Passive,NULL,61,M,E,Z,16,3,0,4,1999,11,11,H,3,1598,P,M,6,9,569,1,OK
20160914,0,-8.28,23.6,0,203.07,187.47,165.53,7,I,Active,NULL,68,M,R,Z,16,6,0,1,2999,16,15,E,5,2499,D,M,14,9,588,1,OK
20160911,1,171.42,30.72,54.49,579.84,587.89,263.73,8,I,Passive,NULL,50,M,E,Z,16,7,0,1,5000,10,1,H,5,1798,P,M,7,8,580,0,OK
20160919,0,157.01,19.63,51,541.93,538.33,261.69,7,I,Passive,NULL,47,P,E,Z,16,12,0,5,9999,6,5,H,5,1398,P,M,3,9,519,0,OK
20160116,1,4.81,21.94,0,160.1,177.54,119.05,6,I,Passive,NULL,55,M,E,Z,15,10,0,4,3999,20,8,H,5,1396,P,M,7,9,581,0,OK
20160815,0,50.78,63.48,101.41,1078.78,733.42,726.36,6,I,Passive,1,36,M,E,Z,16,3,0,4,10000,3,0,E,5,1997,D,M,,4,565,0,OK
20161110,0,80.64,26.25,44.4,472.56,346.89,276.1,7,I,Passive,NULL,70,M,R,Z,16,7,0,1,6000,3,0,E,5,1560,D,A,,9,581,0,OK
20161105,0,126.15,19.63,41.4,440.16,674.83,210.25,7,I,Passive,NULL,44,P,E,Z,16,12,0,4,3999,13,12,E,5,1598,P,M,6,8,555,0,OK
20161113,1,18.47,61.57,57.01,606.66,548.8,382.86,7,I,Passive,NULL,51,M,H,Z,16,3,0,4,5000,10,6,E,5,1896,D,M,6,9,577,0,OK
20161211,1,116.84,31.8304,39.49,420.08,436.61,203.34,7,I,Passive,NULL,61,M,E,Z,16,6,0,4,8000,13,8,H,5,1796,P,M,7,9,598,0,OK
20161208,1,32.77,11.3022,0,247.68,213.93,188.37,7,I,Passive,NULL,45,M,S,Z,16,5,0,4,7999,13,10,H,5,1397,P,M,6,9,563,0,OK
20161212,1,52.97,21.16,0,347.61,323.63,252,7,I,Passive,NULL,54,M,E,Z,16,2,0,4,2500,18,10,H,5,1597,P,A,6,9,565,0,OK
20161209,1,54.7,9.6492,25.08,266.46,248.98,160.82,7,I,Passive,NULL,51,M,E,Z,15,6,0,4,20000,14,8,H,5,1596,P,M,5,9,590,0,OK
20160814,1,52.91,48.0236,0,467.99,355.29,338.06,6,I,Passive,1,58,P,E,Z,16,3,0,4,7999,5,4,H,5,1396,P,M,,9,586,0,OK
